frame,t,state,red_score,amber_score,green_score,before_v2_rule
1197,39.94,green,-5.1,-4.7,139.0,green
1200,40.04,green,-5.6,-5.9,138.7,green
1203,40.14,green,-6.3,-5.8,139.2,green
1206,40.24,green,-4.5,-4.6,139.4,green
1209,40.34,green,-4.8,-5.7,139.3,green
1212,40.44,green,-5.2,-5.3,139.5,green
1215,40.54,green,-5.5,-5.4,139.0,green
1218,40.641,green,-3.8,-6.0,139.9,green
1221,40.741,green,-5.1,-6.0,139.5,green
1224,40.841,green,-3.5,-7.0,139.8,green
1227,40.941,green,-6.5,-6.0,138.9,green
1230,41.041,green,-4.4,-5.9,138.8,green
1233,41.141,green,-4.0,-6.3,138.8,green
1236,41.241,green,-4.6,-5.1,138.7,green
1239,41.341,green,-3.6,-4.7,139.1,green
1242,41.441,green,-4.8,-6.0,137.6,green
1245,41.542,green,-4.0,-4.5,138.4,green
1248,41.642,green,-4.9,-5.7,138.4,green
1251,41.742,green,-4.4,-5.4,137.9,green
1254,41.842,green,-5.4,-6.2,137.0,green
1257,41.942,green,-4.1,-5.2,138.3,green
1260,42.042,green,-4.8,-5.7,137.8,green
1263,42.142,green,-5.4,-5.8,138.6,green
1266,42.242,green,-4.6,-4.7,137.3,green
1269,42.342,green,-5.3,-5.6,138.0,green
1272,42.442,green,-5.3,-6.5,137.8,green
1275,42.543,green,-4.1,-6.9,137.9,green
1278,42.643,green,-5.8,-5.6,138.1,green
1281,42.743,green,-3.3,-5.0,139.2,green
1284,42.843,green,-5.0,-5.5,138.8,green
1287,42.943,green,-4.8,-5.3,138.5,green
1290,43.043,green,-3.9,-5.8,138.7,green
1293,43.143,green,-5.0,-4.8,138.7,green
1296,43.243,green,-5.3,-6.2,139.5,green
1299,43.343,green,-4.4,-5.5,139.3,green
1302,43.443,green,-5.3,-4.9,139.1,green
1305,43.544,green,-5.0,-6.1,139.5,green
1308,43.644,green,-3.9,-5.7,139.6,green
1311,43.744,green,-4.2,-6.1,140.3,green
1314,43.844,green,-4.2,-4.9,139.8,green
1317,43.944,green,-4.9,-5.3,139.5,green
1320,44.044,green,-4.9,-4.9,140.6,green
1323,44.144,green,-4.6,-5.3,141.4,green
1326,44.244,green,-5.5,-5.5,141.4,green
1329,44.344,green,-5.7,-5.8,141.5,green
1332,44.444,green,-5.3,-6.1,140.7,green
1335,44.544,green,-4.5,-5.7,142.3,green
1338,44.645,green,-4.2,-5.6,140.5,green
1341,44.745,green,-5.7,-6.2,142.3,green
1344,44.845,green,-4.7,-5.2,141.8,green
1347,44.945,green,-4.7,-5.0,142.4,green
1350,45.045,green,-5.0,-4.8,141.9,green
1353,45.145,green,-4.8,-4.9,141.8,green
1356,45.245,green,-5.0,-5.2,142.6,green
1359,45.345,green,-5.3,-5.3,141.8,green
1362,45.445,green,-5.3,-5.8,142.3,green
1365,45.546,green,-5.5,-5.5,142.2,green
1368,45.646,green,-5.4,-7.1,141.6,green
1371,45.746,green,-4.7,-6.5,141.7,green
1374,45.846,green,-5.9,-6.6,142.4,green
1377,45.946,green,-5.3,-5.5,142.4,green
1380,46.046,green,-4.0,-6.4,141.5,green
1383,46.146,green,-5.4,-5.5,142.1,green
1386,46.246,green,-4.9,-5.9,141.3,green
1389,46.346,green,-5.6,-5.9,141.4,green
1392,46.446,green,-4.6,-5.1,143.0,green
1395,46.546,green,-4.7,-5.6,142.5,green
1398,46.647,green,-5.7,-5.8,142.8,green
1401,46.747,green,-4.3,-5.8,142.0,green
1404,46.847,green,-4.9,-5.9,141.9,green
1407,46.947,green,-5.8,-5.9,141.7,green
1410,47.047,green,-5.3,-6.3,141.1,green
1413,47.147,green,-5.4,-5.0,140.7,green
1416,47.247,green,-5.3,-6.6,141.0,green
1419,47.347,green,-4.9,-5.0,141.4,green
1422,47.447,green,-7.1,-5.9,140.7,green
1425,47.548,green,-4.2,-6.8,140.7,green
1428,47.648,green,-5.4,-7.0,139.8,green
1431,47.748,green,-4.9,-5.6,141.0,green
1434,47.848,green,-5.8,-5.2,141.2,green
1437,47.948,green,-6.2,-6.5,140.9,green
1440,48.048,green,-4.4,-5.8,140.9,green
1443,48.148,green,-5.4,-6.6,138.9,green
1446,48.248,green,-5.7,-6.8,139.3,green
1449,48.348,green,-6.4,-5.8,138.2,green
1452,48.448,green,-6.1,-6.3,139.0,green
1455,48.549,green,-5.1,-5.3,138.6,green
1458,48.649,green,-4.4,-6.2,138.6,green
1461,48.749,green,-4.5,-6.3,138.3,green
1464,48.849,green,-4.5,-6.1,138.5,green
1467,48.949,green,-5.4,-5.4,137.9,green
1470,49.049,green,-4.2,-5.3,138.5,green
1473,49.149,green,-5.4,-5.5,137.7,green
1476,49.249,green,-4.2,-5.4,137.7,green
1479,49.349,green,-6.0,-5.6,138.1,green
1482,49.449,green,-4.3,-5.0,139.1,green
1485,49.55,green,-5.6,-5.1,138.8,green
1488,49.65,green,-5.8,-3.9,138.8,green
1491,49.75,green,-5.1,-6.1,138.2,green
1494,49.85,green,-4.2,-5.1,139.9,green
1497,49.95,green,-6.3,-6.2,138.6,green
1500,50.05,green,-6.0,-5.3,140.3,green
1503,50.15,green,-4.0,-6.2,138.6,green
1506,50.25,green,-4.6,-5.6,139.5,green
1509,50.35,green,-4.9,-6.0,139.0,green
1512,50.45,green,-6.0,-4.8,139.6,green
1515,50.55,green,-5.9,-6.3,138.5,green
1518,50.651,green,-6.6,-5.0,138.3,green
1521,50.751,green,-5.6,-5.1,138.5,green
1524,50.851,green,-4.2,-7.2,140.0,green
1527,50.951,green,-4.7,-5.5,138.7,green
1530,51.051,green,-5.2,-5.7,138.1,green
1533,51.151,green,-4.9,-6.5,140.2,green
1536,51.251,green,-4.8,-5.7,139.2,green
1539,51.351,green,-6.3,-5.7,139.5,green
1542,51.451,green,-4.8,-6.1,138.7,green
1545,51.552,green,-5.8,-6.4,138.9,green
1548,51.652,green,-5.0,-5.1,139.8,green
1551,51.752,green,-5.7,-4.9,139.6,green
1554,51.852,green,-5.0,-6.6,139.7,green
1557,51.952,green,-5.2,-6.3,140.4,green
1560,52.052,green,-5.7,-6.0,139.1,green
1563,52.152,green,-5.8,-5.7,139.8,green
1566,52.252,green,-5.4,-7.2,139.9,green
1569,52.352,green,-5.0,-6.7,139.9,green
1572,52.452,green,-3.8,-5.6,140.4,green
1575,52.552,green,-4.3,-6.0,140.5,green
1578,52.653,green,-5.7,-4.8,140.7,green
1581,52.753,green,-4.5,-5.4,139.8,green
1584,52.853,green,-5.3,-6.8,141.1,green
1587,52.953,green,-6.1,-6.3,141.0,green
1590,53.053,green,-5.6,-6.8,141.1,green
1593,53.153,green,-5.6,-5.6,141.2,green
1596,53.253,green,-5.8,-6.3,141.5,green
1599,53.353,green,-5.6,-5.2,141.9,green
1602,53.453,green,-6.0,-6.5,142.1,green
1605,53.554,green,-6.1,-6.0,141.7,green
1608,53.654,green,-6.1,-6.2,141.9,green
1611,53.754,green,-5.9,-5.7,143.3,green
1614,53.854,green,-5.9,-5.3,142.5,green
1617,53.954,green,-6.1,-6.6,142.6,green
1620,54.054,green,-5.6,-7.5,142.6,green
1623,54.154,green,-5.3,-5.8,142.0,green
1626,54.254,green,-6.1,-5.5,142.9,green
1629,54.354,green,-5.6,-6.1,144.4,green
1632,54.454,green,-5.7,-6.1,143.3,green
1635,54.555,green,-5.3,-5.5,144.3,green
1638,54.655,green,-5.4,-6.4,144.2,green
1641,54.755,green,-5.0,-6.4,144.8,green
1644,54.855,green,-5.1,-6.5,145.0,green
1647,54.955,green,-4.8,-6.1,144.9,green
1650,55.055,green,-5.1,-5.8,143.3,green
1653,55.155,green,-4.9,-5.6,143.1,green
1656,55.255,green,-6.8,-7.0,144.2,green
1659,55.355,green,-5.9,-7.2,144.5,green
1662,55.455,green,-6.6,-5.6,144.5,green
1665,55.556,green,-5.1,-6.4,144.6,green
1668,55.656,green,-6.7,-7.1,144.7,green
1671,55.756,green,-5.4,-5.0,144.3,green
1674,55.856,green,-6.6,-6.6,144.9,green
1677,55.956,green,-3.8,-7.0,144.8,green
1680,56.056,green,-5.4,-6.4,145.5,green
1683,56.156,green,-4.8,-7.0,144.8,green
1686,56.256,green,-5.9,-7.4,146.1,green
1689,56.356,green,-4.6,-5.8,145.8,green
1692,56.456,green,-5.1,-6.9,145.3,green
1695,56.556,green,-5.2,-7.2,144.7,green
1698,56.657,green,-4.6,-6.9,144.4,green
1701,56.757,green,-6.3,-5.8,146.3,green
1704,56.857,green,-5.4,-6.3,145.6,green
1707,56.957,green,-5.2,-5.3,146.5,green
1710,57.057,green,-6.6,-6.5,144.9,green
1713,57.157,green,-5.5,-8.1,143.9,green
1716,57.257,green,-4.4,-7.3,143.6,green
1719,57.357,green,-5.6,-6.6,144.6,green
1722,57.457,green,-5.5,-6.2,144.1,green
1725,57.558,green,-6.3,-5.4,143.8,green
1728,57.658,green,-7.1,-6.5,143.4,green
